"","Symbol","logFC","logCPM","LR","PValue","FDR","sgRNA","Gene_Regulation"
"HGLibB_49063","TFAP2A",-7.0787849672449,4.49479145128785,10.5045037014681,0.00119083939177425,0.00956087719343187,"HGLibB_49063","Depleted in ToxA"
"HGLibA_16748","FAM83D",5.52145440715065,3.54666995563336,10.5024661861818,0.00119215322874892,0.00957008635693461,"HGLibA_16748","Enriched in ToxA"
"HGLibA_16966","FBP2",3.18669351705648,4.94715823164923,10.4999062389036,0.00119380602123757,0.00958201355014876,"HGLibA_16966","Enriched in ToxA"
"HGLibB_24203","KCNIP2",-2.07663778698992,9.83918929803705,10.4991518756391,0.0011942935069866,0.00958458544920159,"HGLibB_24203","Depleted in ToxA"
"HGLibB_51881","TSPAN7",-6.17086382467142,3.94336985963302,10.4986693089204,0.00119460545760207,0.00958574810055998,"HGLibB_51881","Depleted in ToxA"
"HGLibA_39726","QPCT",-3.65539675973334,4.61516253654465,10.4974071686725,0.00119542174591097,0.00959023005197352,"HGLibA_39726","Depleted in ToxA"
"HGLibA_34061","OR4S1",5.52120785777432,3.54711781686691,10.4972888091218,0.00119549832380588,0.00959023005197352,"HGLibA_34061","Enriched in ToxA"
"HGLibB_04156","BARHL1",-7.16064383760002,4.52505051043642,10.4957495717932,0.00119649465294495,0.00959553924006295,"HGLibB_04156","Depleted in ToxA"
"HGLibB_21672","HMGB4",-7.16064383760002,4.52505051043642,10.4957495717932,0.00119649465294495,0.00959553924006295,"HGLibB_21672","Depleted in ToxA"
"HGLibA_52203","TTLL4",5.86250819592947,3.77092230827274,10.4943301578184,0.00119741416654501,0.00960157134551881,"HGLibA_52203","Enriched in ToxA"
"HGLibB_03615","ATP2B2",-7.16158152004017,4.52567566178059,10.4939637138349,0.00119765166951156,0.00960213376675335,"HGLibB_03615","Depleted in ToxA"
"HGLibB_03720","ATP6V0D2",-5.81409622011902,3.85125191569709,10.4916669025752,0.00119914138555575,0.0096113912703954,"HGLibB_03720","Depleted in ToxA"
"HGLibA_00739","ADAM17",-4.96527244527638,4.72157022145506,10.4913061661181,0.00119937553020305,0.00961192517032265,"HGLibA_00739","Depleted in ToxA"
"HGLibB_29164","MICAL2",5.52145459085301,3.54725449899619,10.4907625233623,0.00119972848196617,0.00961341092120744,"HGLibB_29164","Enriched in ToxA"
"HGLibB_10910","CPEB2",-3.75303165898678,5.24418107669674,10.488921289259,0.00120092465606804,0.00962165204476913,"HGLibB_10910","Depleted in ToxA"
"HGLibB_37800","PPARGC1B",-7.71532229230732,4.96074841929113,10.4860002179336,0.00120282483252454,0.00963418527382806,"HGLibB_37800","Depleted in ToxA"
"HGLibB_49483","TIMP4",5.52120762361072,4.00150771218748,10.4818346843809,0.00120553980388806,0.00964992408003701,"HGLibB_49483","Enriched in ToxA"
"HGLibB_42671","SAP30BP",4.33173971484345,6.81140349929263,10.4807376921621,0.0012062558219082,0.00964992408003701,"HGLibB_42671","Enriched in ToxA"
"HGLibA_22253","HSP90AB1",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibA_22253","Depleted in ToxA"
"HGLibA_55729","ZNF280C",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibA_55729","Depleted in ToxA"
"HGLibB_07937","CCER1",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibB_07937","Depleted in ToxA"
"HGLibB_18845","GDF5",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibB_18845","Depleted in ToxA"
"HGLibB_35444","PCDHB16",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibB_35444","Depleted in ToxA"
"HGLibB_46713","SPP1",-6.52011595358215,4.07156165238305,10.4806645411806,0.00120630358360249,0.00964992408003701,"HGLibB_46713","Depleted in ToxA"
"HGLibA_38968","PRSS57",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibA_38968","Depleted in ToxA"
"HGLibA_55905","ZNF391",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibA_55905","Depleted in ToxA"
"HGLibB_01873","ANAPC15",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_01873","Depleted in ToxA"
"HGLibB_14241","DYNLRB2",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_14241","Depleted in ToxA"
"HGLibB_31540","NEBL",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_31540","Depleted in ToxA"
"HGLibB_31883","NID2",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_31883","Depleted in ToxA"
"HGLibB_42636","SAMD5",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_42636","Depleted in ToxA"
"HGLibB_53317","USP48",-6.52075583224102,4.07193690773721,10.4774202948864,0.0012084237404603,0.00965611354615999,"HGLibB_53317","Depleted in ToxA"
"HGLibB_32515","NPY5R",-5.91215438330112,3.80180521789533,10.4765936033529,0.00120896459663358,0.00965909007139091,"HGLibB_32515","Depleted in ToxA"
"HGLibA_42484","RWDD2B",-6.17145190247316,3.98825589066506,10.4740662197452,0.00121061963635814,0.00967040994605098,"HGLibA_42484","Depleted in ToxA"
"HGLibB_10040","CLIP3",-4.04071798591447,5.26168418562164,10.4671765507261,0.00121514294178396,0.00967040994605098,"HGLibB_10040","Depleted in ToxA"
"HGLibB_41191","RIF1",4.34287207367608,6.31603826695927,10.4656158029343,0.00121617000025989,0.00967040994605098,"HGLibB_41191","Enriched in ToxA"
